document_id,taxonomy_code,from_vendor,to_vendor,direction,evidence_span
2,none,none,none,none,"However, (Py)Spark is very high-latency, even in local mode, so Hypothesis would have to generate a list (DataFrame) of thousands of test cases to be evaluated in parallel."
78,none,none,none,none,"After all, how many financial firms switched to OpenOffice Calc from Excel?"
97,lock_in_openness,none,none,none,"Obviously you can put a SQL interface in front of the data, but most RDBMS / Data Warehouses have a lot of functionality around maintaining your data that you may not get with the native file format, so you get soft-locked into the metadata format that comes from your data lake file format."
220,cost,cloudera,other,leave,"But instead of moving to the cloud (and Databricks), they saved 5X costs by building their own analytics platform with Iceberg, Trino and Superset."
247,none,none,none,none,"Grata | Full time - Hybrid NYC | Python, Django, Databricks, AWS, PostgreSQL | grata.com Grata the leading private market dealmaking platform."
259,none,none,none,none,"Hi HN, We’re Alex and Kalan, the creators of Pontoon (https://github.com/pontoon-data/Pontoon)."
274,cost,other,snowflake,adopt,The quickest way to 10x your costs is to move a Vertica workload to Snowflake (last I heard my old job is now up to 40x).
300,none,none,none,none,"Don't worry, most places go straight with databricks and get a flaky as hell system that falls apart anyway, but then they can blame databricks instead of their own incompetence."
506,none,none,none,none,"What an amazing set of articles, one thing that I think he's missed is the clear multi year trends."
648,none,none,none,none,This specific perf improvement is orthogonal to HA.
649,operational_simplicity,none,none,none,Trying to just run a simple Spark query using an S3 Table Bucket was enough to remind me why Snowflake and Databricks are printing money by making it a more user friendly experience.
694,none,none,none,none,i eventually convinced the ceo they'd been doing the wrong thing all this time -- they should focus on analytics + specific domain consultancy services instead of software products.
706,none,none,none,none,"Even better if that can feed a deterministic operation like UPPER() so that you do it over the dictionary hits once, instead of each row."
775,none,none,none,none,"""Popular metadata catalog solutions are Hive Metastore, AWS Glue Data Catalog, and Unity Catalog from Databricks."
872,none,none,none,none,"Location: Europe, Role Type: Fractional, Remote / Worldwide Remote: Yes Willing to relocate: Yes Technologies: Kafka, Flink, Spark, Cassandra, Scala, Rust / PyO3 / Tokio, Python, Zookeeper, Databricks, Delta Lake, BigQuery, Redshift, Hive, Kinesis, Airbyte, Airflow, Temporal, DBT, Aerospike, Snowflake, PrestoSQL, Trino, Clickhouse, SQL, Vector"
895,none,none,none,none,HR gets asked by their employees for statistics on how many non-binary/PoC/women/<insert your label here> people in the organization are represented in management/executive/engineering/<insert your probably under-represented role here>.
903,none,none,none,none,"Oftentimes these can be restated as constructive questions, like instead of saying, ""you are a fatalist,"" you can ask, ""this seems fatalistic, this doesn't match my own experience, can you help me understand?"" Remember that most strong disagreements are a mild disagreement wrapped in a"
905,none,none,none,none,"It's only later in life that I figured out that that's where I am grounded, that's where I can grow, instead of pretending to connect in the real world."
910,none,none,none,none,"This is aruagbly better for customers too, money into the product instead of being taken off the table to investors/tax."
925,none,none,none,none,In pandas 2.0 the numpy backend can even be replaced with a pyarrow backend.
929,none,none,none,none,"Developers will spend 90% of their time on data contracts, and data profiling instead of technical tooling."
942,none,none,none,none,"This is why having JIT/AOT toolchains is great, let the runtime optmize to what is actually available, instead of shipping multiple dlls/so with exponential complexity of ISA mappings."
946,none,none,none,none,GCP is going after the non-cloud products instead of the big cloud providers now.
947,none,none,none,none,"One of the proposals is: - use it to simplify the cache instead of local SSDs; - it has to be in every AZ where there are replicas; the caches will work independently in each AZ; - so it might be expensive, but if we"
989,none,none,none,none,"Especially if upstream systems change, you want to implement that change in one central place instead of all downstream systems."
1010,none,none,none,none,"For me, the onus is on any other DB to convince me that I should use it instead of PostgreSQL."
1023,none,none,none,none,"Email: in the resume Blurb: PhD in operations research -> startup employee #2 -> scale startup, gradually moving from data science IC to VP of data science + software engineering -> now looking for meaningful hands-on technical work at a company inventing something in the"
1119,none,none,none,none,"They encourage the public, whether companies or individuals, to store their data on someone else's computer that is connected to the open internet 24/7 instead of their own, nevermind offline storage media."
1121,cost,none,none,none,"Databend is a cutting-edge alternative to Snowflake, offering cost-effective and straightforward solutions for large-scale analytics."
1137,none,none,none,none,Spark's Advanced Query Pushdown feature automatically ensures that all possible filters and aggregations are performed on the underlying warehouse instead of being performed in-memory.
1231,none,none,none,none,"Instead of just querying data or calling APIs, these agents can dynamically decide which tool to use—whether it's SQL, LLMs, or external APIs—depending on the task at hand."
1268,right_sizing,google,other,evaluate,"In fact, I just advised someone recently to simply use Postgres instead of BigQuery since they had <1TB and their queries weren't super intensive."
1290,none,none,none,none,"run_start_timestamp() }}' request: source: ""mailchimp"" url_expression: | f""https://us1.api.mailchimp.com/3.0/lists/{var('list_id')}/members/{hashlib.md5(record['email'].encode()).hexdigest()}"" method: PATCH body_expression: | { ""merge_fields"": { ""TOTALSPEND"": record['total_spend'], ""ORDERCOUNT"": record['order_count'] } } This scales much better: if you have 100K customers but only 50 new orders, you're recalculating metrics for ~50 customers instead of all 100K."
1351,none,none,none,none,"when everyone is on the same playing field (I can use Datadog instrumentation, convert it to OTel, then export it to Grafana Cloud/Prometheus), vendors will have to compete on performance and UX instead of their ability to lock us in with ""golden handcuffs"" instrumentation libraries."
1364,none,none,none,none,"But if I have a remote build system with a few hundred cores cores and a few dozen TB of ram, why would I not just use it instead of using my laptop?"
1394,none,none,none,none,"Pi B"" form factor, which they didn't even manage to do, so any time I use it it's a port squid mess instead of having everything be neatly managable and I don't get to use any of the Pi B form-factor accessories I have anyways."
1400,cost,none,none,none,"one abstraction instead of five, for a fraction of your Snowflake bill."
1476,none,none,none,none,"Its a newer capability to our export product where instead of sending the data to the tenant's data warehouse, we enable you to provision an S3/GCS/ABS/etc bucket with the data formatted."
1545,none,none,none,none,Teams finally started treating the design system like infrastructure instead of decoration.
1658,none,none,none,none,"Queryable definitions go into YAML files that define tables, row grain, joins, measures, dimensions, filters, and filter groups That way, when an agent needs a metric, it asks ktx for a measure, dimensions, filters, and filter groups instead of writing the whole query itself."
1674,none,none,none,none,"If you like working in ambiguity, building real AI systems instead of demos, and partnering closely with customers to get things into production, these roles are a good fit."
1712,none,none,none,none,Why did you use DuckDB instead of CockroachDB/Snowflake?
1750,governance_security,snowflake,other,leave,"The best thing I've built in a long time is replacing a complex (and scary) permissions system built on top of Snowflake with single role duckdb databases that - aside from no longer worrying about bugs leaking data across roles - are more performant, timely and flexible."
1949,none,none,none,none,"If you like working in ambiguity, building real AI systems instead of demos, and partnering closely with customers to get things into production, these roles are a good fit."
2096,none,none,none,none,"I work at Cloudera and I see it as roughly analogous to CDP, but I didn't see anything about hybrid on-prem/cloud deployments."
2110,none,none,none,none,"Many of them migrated from a system where you can store asset URL in your format of choice (say parquet/tfrecord), to Lance, partially because putting asset (i.e., image, large tensors, lidar point cloud) physically together can lead to better scan perf than loading a lot"
2120,none,none,none,none,Agave (W22) https://agaveapi.com | Founding Eng (Emp #4) | Backend | SF Backend Eng (4th hire) at YC startup building data infra for the $12T construction industry.
2156,right_sizing,none,none,evaluate,"During the big data hype, I did a feasibility study for this for my previous company (typical bigcorp) and learned that most companies should not have a data lake."
3599,none,none,none,none,"Things that can be done at index time instead of search time, so the latency requirements are less of an issue."
3906,operational_simplicity,none,none,none,Frankly the entire analytics space on AWS feels like a huge mess of competing teams and products instead of a uniform vision.
6408,none,google,aws,leave,"Since moving from GCP BigQuery to AWS Athena, I missed having something for Athena similar in functionality to the BigQuery bq command line tool."
6444,none,none,none,none,"-Create end to end RAG chat apps which can embed over 260+ data sources including Bigquery, Salesforce, Airtable… -Create multi agent apps to automate processes -designed for company usage with Orgs, teams, RBAC"
6633,none,none,none,none,I hit a wall recently where we needed to design a data store that can both (1) ingest schema-less updates at scale and (2) allow for large analytical queries.
6711,other,none,google,adopt,"Came here to say that Big Query is a phenomenal product, that alone is a reason for a lot of companies to adopt GCP."
6764,none,none,none,none,"Epic Kids | Data Engineer | Full-Time | REMOTE | San Jose | $120k-225k As a Data Engineer at Epic Kids, you will work closely with our development team, infrastructure team, and data team to design, build, and optimize data pipelines, ensuring data quality and"
6769,none,none,none,none,"Location: California, USA Remote: Yes Willing to relocate: No Technologies: • Languages & Frameworks: JavaScript (ES6+), TypeScript, Python, Go, HTML5, CSS3/SASS • Frontend: React, Next.js, Vue.js, Tailwind CSS, Material UI, Storybook, D3.js • Backend & APIs: Node.js, Express, FastAPI, Django, REST, GraphQL, gRPC, TRPC •"
7067,performance_scale,other,google,adopt,The DW got replaced with bigquery when we started doing more tracking.
7109,none,none,none,none,I discovered it's more than a SQL backup and restore solution and I figured others would want to know instead of making everyone click a bunch.
7112,none,none,none,none,"one or more cols with float32 numpy arrays): - dataframe -> to_parquet -> upload to GCS -> GCSToBigQueryOperator (https://airflow.apache.org/docs/apache-airflow-providers-goo...) -> instead of storing as a `FLOAT, REPEATED` it will be stored as a STRUCT with a structure of `list>item` OR `list>element` (pyarrow==11 OR pyarrow==13).This requires"
7120,operational_simplicity,google,other,evaluate,I still want to try and combine ahoy with a column store in postgres so that we can run the analytical queries straight onto postgres instead of syncing the events to BigQuery.
7168,none,none,none,none,"Error while executing make file I currently have python3.9 and python2.7 also hue (master)> make (base) ""PYTHON_VER is python2.7."" ""Python 2 module install of desktop/ext-py"" /Users/timberman/hue/Makefile.vars:67: *** ""Error: must have python development packages for python2.7."
7388,none,none,none,none,"Side question: wouldn't it be better if the ETL used my app's API to extract the data instead of directly connecting to the operational (in this case, Mongo) database?"
7407,none,none,none,none,except or throw instead of rise as described here It works partially: I can fetch all rows until the cursor meets the faulty row.
7619,none,none,none,none,I have two avro files in S3 and I wish to compare the differences in the content.
7758,none,none,none,none,reading through a config file or table instead of manually specifying the same?
7804,none,none,none,none,Programming Environment and Brief Overview: I am working on one of my Big Data Assignments that involved finding the Strike Rate of Gamers using Hadoop Mapreduce 2.6.0 version.
7847,none,none,none,none,I have a Azure Synapse pipeline which we migrated from DEV environment to our Pre Prod environment.
7853,cost,none,none,none,we've tried calling the Function App from a Synapse Spark Notebook and a Pipeline both of which took too long and cost too much for us.
8040,none,none,none,none,"can replace '[', ']' and '].' with '_' and in cases where ']' is the last character it should be replaced with '' but I am struggling to come up with a regex for it that works in all cases because Snowflake does not support"
8127,none,none,none,none,It does the same thing if I use a JDBC connection right to the DB instead of using the data catalogue.
8134,none,none,aws,evaluate,"This is currently just an experiment to trial of the use of Glue capabilities, which if adopted would be used to process data totaling a few hundred GBs."
8253,none,none,none,none,It's important to note that we can only get an Azure Synapse Analytics (Artifact) linked service to work instead of an Azure SQL Database linked service.
8298,none,none,none,none,"Could someone guide me if this could be modified to use certificate instead of secret authentication?, I tried to modify the ServicePrincipalCredentialsAuth class shown below to use ClientCredentialFactory.createFromCertificate but I am not able to make it work."
8303,none,none,none,none,I need to insert data into my AWS Oracle RDS using AWS Glue job.
8368,none,none,none,none,"where as the create table statement that I got contain the INTEGER data type which has numeric precision of 32 for that column instead of NUMERIC(38, 0) or DECIMAL(38, 0)."
8404,none,none,none,none,"I am currently working on a project where I am using Polars in a Fabric Notebook, and I would like to save this data into a Delta Table within a Microsoft Fabric Lakehouse."
8434,performance_scale,none,google,evaluate,"The total time for BigQuery to load 350GB of csv, run 12 different regular expressions against each, and output that to a new csv was about 10 minutes."
