code,kind,name,definition,example_1_doc_id,example_1_quote,example_2_doc_id,example_2_quote
cost,category,Cost,"Price, bill size or total cost of ownership drives the choice to adopt, leave or look elsewhere.",220,"But instead of moving to the cloud (and Databricks), they saved 5X costs by building their own analytics platform with Iceberg, Trino and Superset.",10715,"The primary driver of inflated Snowflake bills for bursty, interactive workloads is the platform's billing model for compute."
performance_scale,category,Performance and scale,"Query speed, throughput or ability to handle growing data volume drives the choice.",7067,The DW got replaced with bigquery when we started doing more tracking.,8434,"The total time for BigQuery to load 350GB of csv, run 12 different regular expressions against each, and output that to a new csv was about 10 minutes."
right_sizing,category,Right-sizing (platform is overkill),The workload is too small or too simple for a warehouse or lakehouse; a smaller tool such as Postgres is judged enough.,1268,"In fact, I just advised someone recently to simply use Postgres instead of BigQuery since they had <1TB and their queries weren't super intensive.",2156,"During the big data hype, I did a feasibility study for this for my previous company (typical bigcorp) and learned that most companies should not have a data lake."
lock_in_openness,category,Lock-in and openness,"Proprietary formats, runtimes or feature boundaries versus open formats and portability drive the choice.",11150,"Those are managed platforms with their own runtimes and billing; EMR keeps you on open-source engines and open table formats you can lift to any other environment, at the cost of more assembly.",97,"It's all open, so this is only a half issue, but there are switching costs."
operational_simplicity,category,Operational simplicity and control,"How easy the platform is to run and use: managed versus fragmented services, user friendliness, and visibility into what it does.",649,Trying to just run a simple Spark query using an S3 Table Bucket was enough to remind me why Snowflake and Databricks are printing money by making it a more user friendly experience.,3906,Frankly the entire analytics space on AWS feels like a huge mess of competing teams and products instead of a uniform vision.
governance_security,category,Governance and security,"Access control, data-leak risk or a single governance model drives the choice.",1750,"The best thing I've built in a long time is replacing a complex (and scary) permissions system built on top of Snowflake with single role duckdb databases that - aside from no longer worrying about bugs leaking data across roles - are more performant, timely and flexible.",10949,The zero-copy savings are nice; the governance simplification is what will actually convince your security org to let you retire the export jobs.
ecosystem_fit,category,Ecosystem and integration fit,"Fit with the stack already in place (cloud, identity, BI tools, storage) or what integrates cleanly drives the choice.",10963,"Fabric wins on Microsoft-shop fit because the identity, licensing, and Power BI story compound; Databricks wins on ML depth and cross-cloud reach; Snowflake wins on pure warehouse UX and Iceberg-native storage; Synapse is the legacy option that Fabric is actively replacing.",12957,"If zero-copy is a requirement, evaluate AWS-native engines that authorise in the caller's own IAM context alongside it"
skills_team,category,Team skills and operating model,"The team's existing skills, or who on the team should own and operate the platform, drives the choice.",8703,"I could use Java, but I am also managing our team and we want to stay with Python since that is our team's core skill set (myself included).",11149,"and that is a team-and-cost question, not a file-format one."
other,utility,Other stated reason,A platform-choice reason is stated but fits none of the categories.,6711,"Came here to say that Big Query is a phenomenal product, that alone is a reason for a lot of companies to adopt GCP.",,
none,utility,No stated reason,"The document states no reason for choosing, leaving or evaluating a platform (how-to questions, job posts, news, or a switching phrase used in another sense).",1545,"It generates pages that ignore your components, skip your tokens, and treat every screen like a fresh snowflake.",8040,"I am trying to write a regex that can replace '[', ']' and '].' with '_' and in cases where ']' is the last character it should be replaced with '' but I am struggling to come up with a regex for it that works in all cases because Snowflake does not support lookahead & lookbehind."
